APP_ID,Name,Publisher,Developer,Rank,Owners,TotalPlayer,TotalPlayersOf2weeks,AvgPlayTimeIn2weeks,Median.TotalPlayTime,YesterdayCCU
433850,H1Z1: King of the Kill,Daybreak Game Company,Daybreak Game Company,26,2603909,1008028,354859,512,299,11372
221100,DayZ,Bohemia Interactive,Bohemia Interactive,34,3418103,3387108,329609,346,1234,7709
730,Counter-Strike: Global Offensive,Valve,Valve,87,21858352,21196262,7980312,841,4455,564451
346110,ARK: Survival Evolved,Studio Wildcard,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",39,3127654,2994299,656345,1210,910,66315
359870,FINAL FANTASY X/X-2 HD Remaster,SQUARE ENIX,SQUARE ENIX,81,173120,142730,119748,1034,557,5721
107410,Arma 3,Bohemia Interactive,Bohemia Interactive,78,2385128,2344153,467651,955,2146,35595
304050,Trove,Trion Worlds,Trion Worlds,49,5765129,4592750,290600,440,125,8568
322330,Don't Starve Together Beta,Klei Entertainment,Klei Entertainment,96,4336623,3023782,309953,383,434,6945
48700,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,96,2170731,1971756,223166,537,2022,9990
72850,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,84,10456157,9971874,851388,529,2766,35933
273110,Counter-Strike Nexon: Zombies,Nexon Europe GmbH,Nexon,23,5809127,3453483,124132,481,40,5050
10,Counter-Strike,Valve,Valve,97,12530576,8752019,398403,572,463,22554
10090,Call of Duty: World at War,Activision,Treyarch,87,1295151,1057772,117782,271,718,2831
91310,Dead Island,Deep Silver,Techland,66,3404344,2875307,103721,190,454,1904
244850,Space Engineers,Keen Software House,Keen Software House,78,1702323,1607523,110525,525,560,4830
444640,Bloons TD Battles,Ninja Kiwi,Ninja Kiwi,49,410650,348055,115212,178,37,1357
8930,Sid Meier's Civilization V,"2K Games, Aspyr (Mac, Linux)","Firaxis Games, Aspyr (Mac, Linux)",96,8732666,8263654,1033883,878,2357,60969
211420,Dark Souls: Prepare to Die Edition,BANDAI NAMCO Entertainment,FromSoftware,74,2474485,2213519,170247,508,566,5322
224260,No More Room in Hell,Lever Games,No More Room in Hell Team,78,6021408,3689199,114305,124,92,1091
316010,Magic Duels,Wizards of the Coast LLC,Stainless Games Ltd.,22,1358956,1042350,102058,653,146,4039
550,Left 4 Dead 2,Valve,Valve,97,14134923,12267493,606299,243,562,10748
301520,Robocraft,Freejam,Freejam,43,9821282,6843313,344577,339,142,9249
280790,Creativerse,Playful Corporation,Playful Corporation,66,1354420,1175857,123679,237,85,2460
378120,Football Manager 2016,SEGA,SPORTS INTERACTIVE,47,904005,897655,444367,1883,7259,63550
